#node1	node2	combined_score
ACB1	FAT1	0.76
ACB1	FAA2	0.776
ACB1	OLE1	0.888
ACB1	POX1	0.742
ACB1	SPO14	0.719
ACB1	NMT1	0.721
ACB1	FAS1	0.751
ACC1	ACS1	0.985
ACC1	IFA38	0.767
ACC1	CIT2	0.862
ACC1	OLE1	0.918
ACC1	PHS1	0.783
ACC1	ELO1	0.743
ACC1	OPI3	0.71
ACC1	FAS1	0.999
ACC1	TGL4	0.723
ACC1	ACS2	0.987
ACC1	PAH1	0.815
ACC1	HFA1	0.932
ACC1	TGL3	0.754
ACC1	LAT1	0.918
ACC1	MLS1	0.911
ACC1	CIT1	0.849
ACC1	CIT3	0.838
ACC1	DGA1	0.892
ACC1	MCT1	0.946
ACC1	ERG10	0.947
ACC1	FAS2	0.998
ACP1	"DUR1,2"	0.706
ACP1	CEM1	0.996
ACP1	POX1	0.729
ACP1	CYC1	0.806
ACP1	OAR1	0.793
ACP1	FAS1	0.783
ACP1	HFA1	0.772
ACP1	FAS2	0.839
ACP1	LIP2	0.969
ACP1	MCT1	0.992
ACS1	FAA2	0.71
ACS1	CTA1	0.735
ACS1	CYB2	0.743
ACS1	YAT2	0.853
ACS1	ADR1	0.861
ACS1	CRC1.00	0.866
ACS1	UGA1	0.867
ACS1	YAT1	0.893
ACS1	IDP2	0.904
ACS1	FOX2	0.93
ACS1	HFD1	0.932
ACS1	ALD2	0.942
ACS1	ALD3	0.946
ACS1	ERG10	0.946
ACS1	ALD6	0.949
ACS1	ALD5	0.956
ACS1	HFA1	0.957
ACS1	LAT1	0.958
ACS1	ALD4	0.96
ACS1	POT1	0.967
ACS1	ICL1	0.974
ACS1	CAT2	0.978
ACS1	ACS2	0.978
ACS1	POX1	0.984
ACS1	CIT1	0.99
ACS1	CIT2	0.993
ACS1	CIT3	0.997
ACS1	MLS1	0.998
ACS2	CIT2	0.988
ACS2	ICL1	0.828
ACS2	ALD5	0.955
ACS2	POX1	0.954
ACS2	UGA1	0.867
ACS2	POT1	0.921
ACS2	HFD1	0.925
ACS2	ALD3	0.935
ACS2	ALD2	0.946
ACS2	ALD4	0.955
ACS2	LAT1	0.962
ACS2	HFA1	0.97
ACS2	CIT1	0.974
ACS2	ALD6	0.977
ACS2	CIT3	0.979
ACS2	MLS1	0.98
ACS2	ERG10	0.985
ADH6	ADH7	0.983
ADH6	GPP2	0.914
ADH6	ALD5	0.788
ADH6	GUT1	0.903
ADH6	GPP1	0.9
ADH6	YJU3	0.901
ADH6	HFD1	0.794
ADH6	ALD3	0.827
ADH6	ALD2	0.856
ADH6	ALD4	0.852
ADH6	ALD6	0.902
ADH6	GCY1	0.915
ADH7	HFD1	0.722
ADH7	ALD3	0.764
ADH7	ALD2	0.77
ADH7	ALD4	0.788
ADH7	ALD6	0.839
ADH7	GPP2	0.9
ADH7	YJU3	0.901
ADH7	GUT1	0.903
ADH7	GCY1	0.915
ADH7	GPP1	0.928
ADR1	DCI1	0.716
ADR1	CTA1	0.768
ADR1	CHO1	0.78
ADR1	FOX2	0.792
ADR1	GUT1	0.803
ADR1	POX1	0.822
AIM45	MDH3	0.857
AIM45	POX1	0.987
AIM45	CIR1	0.999
ALD2	AMD2.00	0.963
ALD2	POX1	0.877
ALD2	UGA1	0.961
ALD2	CTT1	0.746
ALD2	FMS1	0.973
ALD2	GLN1	0.844
ALD3	AMD2.00	0.963
ALD3	POX1	0.965
ALD3	UGA1	0.968
ALD3	CTT1	0.987
ALD3	GUT1	0.793
ALD3	GUT2	0.862
ALD3	PEX1	0.78
