#pro1	pro2	combined score
ACC1	ACB1	9999.000000
ACC1	ACC1	0.000000
ACC1	ACP1	9999.000000
ACC1	ACS1	0.985000
ACC1	ACS2	0.987000
ACC1	ADH6	9999.000000
ACC1	ADH7	9999.000000
ACC1	ADR1	1.846000
ACC1	AIM45	9999.000000
ACC1	ALD2	1.927000
ACC1	ALD3	1.922000
ACC1	ALD4	1.942000
ACC1	ALD5	1.941000
ACC1	ALD6	1.934000
ACC1	ALE1	9999.000000
ACC1	AMD2.00	2.853000
ACC1	ARE2	9999.000000
ACC1	ATG15	9999.000000
ACC1	AYR1	9999.000000
ACC1	CAT2	1.963000
ACC1	CDC48	9999.000000
ACC1	CDC60	9999.000000
ACC1	CDS1	9999.000000
ACC1	CEM1	9999.000000
ACC1	CFD1	9999.000000
ACC1	CHO1	2.626000
ACC1	CHO2	3.620000
ACC1	CIR1	9999.000000
ACC1	CIT1	0.849000
ACC1	CIT2	0.862000
ACC1	CIT3	0.838000
ACC1	CMD1	9999.000000
ACC1	CPT1	3.401000
ACC1	CRC1.00	1.653000
ACC1	CTA1	1.720000
ACC1	CTT1	2.673000
ACC1	CYB2	1.728000
ACC1	CYB5	9999.000000
ACC1	CYC1	2.472000
ACC1	DCI1	2.533000
ACC1	DGA1	0.892000
ACC1	DGK1	1.825000
ACC1	DPP1	1.864000
ACC1	"DUR1,2"	9999.000000
ACC1	ECI1	2.550000
ACC1	EHD3	9999.000000
ACC1	EHT1	9999.000000
ACC1	ELO1	0.743000
ACC1	ELO2	1.742000
ACC1	ELO3	1.558000
ACC1	EPT1	2.795000
ACC1	ERG1	9999.000000
ACC1	ERG10	0.947000
ACC1	ERG11	1.891000
ACC1	ERG25	1.847000
ACC1	ERG3	1.823000
ACC1	ERG5	1.906000
ACC1	ERG7	1.864000
ACC1	ETR1	9999.000000
ACC1	FAA1	1.680000
ACC1	FAA2	1.695000
ACC1	FAA3	1.678000
ACC1	FAA4	1.681000
ACC1	FAS1	0.999000
ACC1	FAS2	0.998000
ACC1	FAT1	1.798000
ACC1	FKS1	1.859000
ACC1	FMP30	3.767000
ACC1	FMS1	2.698000
ACC1	FOX2	1.571000
ACC1	GCY1	2.806000
ACC1	GLN1	2.771000
ACC1	GPP1	3.779000
ACC1	GPP2	3.785000
ACC1	GPT2	1.711000
ACC1	GUT1	2.380000
ACC1	GUT2	1.557000
ACC1	HAT1	9999.000000
ACC1	HEM13	2.737000
ACC1	HEM3	3.722000
ACC1	HFA1	0.932000
ACC1	HFD1	1.912000
ACC1	HMG1	1.879000
ACC1	HMS1	2.623000
ACC1	HRD1.00	2.620000
ACC1	HTD2	1.662000
ACC1	ICL1	1.778000
ACC1	IDP2	1.623000
ACC1	IDP3	1.562000
ACC1	IFA38	0.767000
ACC1	INA1	2.561000
ACC1	IZH2	9999.000000
ACC1	LAT1	0.918000
ACC1	LCB2	3.462000
ACC1	LDH1	9999.000000
ACC1	LOA1	2.378000
ACC1	LPP1	1.867000
ACC1	LRO1	1.891000
ACC1	MAE1	1.763000
ACC1	MCT1	0.946000
